HWT,CWT,WBT,LG,ALT,KaVL
40.00,28.00,20.00,1.000,0.0,1.23049
40.03,28.02,20.00,1.001,0.0,1.22808
40.06,28.04,20.00,1.002,0.0,1.22567
40.09,28.06,20.00,1.003,0.0,1.22327
40.12,28.08,20.00,1.004,0.0,1.22089
40.15,28.10,20.00,1.005,0.0,1.21851
40.18,28.12,20.00,1.006,0.0,1.21614
40.21,28.14,20.00,1.007,0.0,1.21378
40.24,28.16,20.00,1.008,0.0,1.21143
40.27,28.18,20.00,1.009,0.0,1.20909
40.30,28.20,20.00,1.010,0.0,1.20675
40.33,28.22,20.00,1.011,0.0,1.20443
40.36,28.24,20.00,1.012,0.0,1.20211
40.39,28.26,20.00,1.013,0.0,1.1998
40.42,28.28,20.00,1.014,0.0,1.1975
40.45,28.30,20.00,1.015,0.0,1.19521
40.48,28.32,20.00,1.016,0.0,1.19293
40.51,28.34,20.00,1.017,0.0,1.19066
40.54,28.36,20.00,1.018,0.0,1.18839
40.57,28.38,20.00,1.019,0.0,1.18614
40.60,28.40,20.00,1.020,0.0,1.18389
40.63,28.42,20.00,1.021,0.0,1.18165
40.66,28.44,20.00,1.022,0.0,1.17941
40.69,28.46,20.00,1.023,0.0,1.17719
40.72,28.48,20.00,1.024,0.0,1.17497
40.75,28.50,20.00,1.025,0.0,1.17277
40.78,28.52,20.00,1.026,0.0,1.17056
40.81,28.54,20.00,1.027,0.0,1.16837
40.84,28.56,20.00,1.028,0.0,1.16619
40.87,28.58,20.00,1.029,0.0,1.16401
40.90,28.60,20.00,1.030,0.0,1.16184
40.93,28.62,20.00,1.031,0.0,1.15968
40.96,28.64,20.00,1.032,0.0,1.15753
40.99,28.66,20.00,1.033,0.0,1.15538
41.02,28.68,20.00,1.034,0.0,1.15324
41.05,28.70,20.00,1.035,0.0,1.15111
41.08,28.72,20.00,1.036,0.0,1.14899
41.11,28.74,20.00,1.037,0.0,1.14687
41.14,28.76,20.00,1.038,0.0,1.14476
41.17,28.78,20.00,1.039,0.0,1.14266
41.20,28.80,20.00,1.040,0.0,1.14056
41.23,28.82,20.00,1.041,0.0,1.13848
41.26,28.84,20.00,1.042,0.0,1.1364
41.29,28.86,20.00,1.043,0.0,1.13433
41.32,28.88,20.00,1.044,0.0,1.13226
41.35,28.90,20.00,1.045,0.0,1.1302
41.38,28.92,20.00,1.046,0.0,1.12815
41.41,28.94,20.00,1.047,0.0,1.12611
41.44,28.96,20.00,1.048,0.0,1.12407
41.47,28.98,20.00,1.049,0.0,1.12204
41.50,29.00,20.00,1.050,0.0,1.12001
41.53,29.02,20.00,1.051,0.0,1.118
41.56,29.04,20.00,1.052,0.0,1.11599
41.59,29.06,20.00,1.053,0.0,1.11398
41.62,29.08,20.00,1.054,0.0,1.11199
41.65,29.10,20.00,1.055,0.0,1.11
41.68,29.12,20.00,1.056,0.0,1.10801
41.71,29.14,20.00,1.057,0.0,1.10604
41.74,29.16,20.00,1.058,0.0,1.10407
41.77,29.18,20.00,1.059,0.0,1.1021
41.80,29.20,20.00,1.060,0.0,1.10014
41.83,29.22,20.00,1.061,0.0,1.09819
41.86,29.24,20.00,1.062,0.0,1.09625
41.89,29.26,20.00,1.063,0.0,1.09431
41.92,29.28,20.00,1.064,0.0,1.09238
41.95,29.30,20.00,1.065,0.0,1.09045
41.98,29.32,20.00,1.066,0.0,1.08854
42.01,29.34,20.00,1.067,0.0,1.08662
42.04,29.36,20.00,1.068,0.0,1.08472
42.07,29.38,20.00,1.069,0.0,1.08282
42.10,29.40,20.00,1.070,0.0,1.08092
42.13,29.42,20.00,1.071,0.0,1.07903
42.16,29.44,20.00,1.072,0.0,1.07715
42.19,29.46,20.00,1.073,0.0,1.07528
42.22,29.48,20.00,1.074,0.0,1.07341
42.25,29.50,20.00,1.075,0.0,1.07154
42.28,29.52,20.00,1.076,0.0,1.06968
42.31,29.54,20.00,1.077,0.0,1.06783
42.34,29.56,20.00,1.078,0.0,1.06598
42.37,29.58,20.00,1.079,0.0,1.06414
42.40,29.60,20.00,1.080,0.0,1.06231
42.43,29.62,20.00,1.081,0.0,1.06048
42.46,29.64,20.00,1.082,0.0,1.05866
42.49,29.66,20.00,1.083,0.0,1.05684
42.52,29.68,20.00,1.084,0.0,1.05503
42.55,29.70,20.00,1.085,0.0,1.05322
42.58,29.72,20.00,1.086,0.0,1.05142
42.61,29.74,20.00,1.087,0.0,1.04962
42.64,29.76,20.00,1.088,0.0,1.04783
