dbt,wbt,alt,dp_bin,dp_js,dp_ok,h_bin,h_js,h_ok,hr_bin,hr_js,hr_ok
19.8,14.7,0,11.34,11.34,1,41.186,41.186,1,0.0084,0.0084,1
35.5,32.3,0,31.54,31.54,1,112.5448,112.5448,1,0.03,0.03,1
19.1,11.9,0,5.87,5.87,1,33.8322,33.8322,1,0.0058,0.0058,1
39.0,29.9,0,27.33,27.33,1,99.0484,99.0484,1,0.0233,0.0233,1
46.3,37.0,0,35.2,35.2,1,142.7054,142.7054,1,0.0372,0.0372,1
44.2,39.2,0,38.35,38.35,1,159.7676,159.7676,1,0.0447,0.0447,1
45.0,36.4,0,34.69,34.69,1,138.4715,138.4716,0,0.0361,0.0361,1
24.6,18.7,0,15.62,15.62,1,53.0893,53.0893,1,0.0111,0.0111,1
19.4,17.3,0,16.18,16.18,1,48.7936,48.7937,0,0.0115,0.0115,1
33.0,28.9,0,27.72,27.72,1,94.1909,94.1909,1,0.0238,0.0238,1
42.4,35.6,0,34.2,34.2,1,133.0609,133.0609,1,0.0351,0.0351,1
23.4,13.2,0,4.74,4.74,1,37.0836,37.0836,1,0.0053,0.0053,1
54.2,52.3,0,52.13,52.13,1,309.1956,309.1956,1,0.098,0.098,1
47.2,46.7,0,46.64,46.64,1,233.1804,233.1804,1,0.0718,0.0718,1
35.5,17.0,0,2.67,2.67,1,47.5039,47.5039,1,0.0046,0.0046,1
28.6,20.1,0,15.87,15.87,1,57.6555,57.6555,1,0.0113,0.0113,1
26.7,17.4,0,11.81,11.81,1,48.9266,48.9266,1,0.0087,0.0087,1
50.1,43.8,0,42.95,42.95,1,201.1732,201.1732,1,0.0582,0.0582,1
38.1,18.6,0,5.15,5.15,1,52.4159,52.4159,1,0.0055,0.0055,1
43.4,30.5,0,26.88,26.88,1,102.0277,102.0277,1,0.0226,0.0226,1
31.9,19.7,0,13.08,13.08,1,56.2007,56.2007,1,0.0094,0.0094,1
38.4,28.1,0,24.85,24.85,1,90.0036,90.0036,1,0.02,0.02,1
19.7,14.7,0,11.41,11.41,1,41.1879,41.1879,1,0.0084,0.0084,1
45.0,36.7,0,35.08,35.08,1,140.6134,140.6134,1,0.0369,0.0369,1
34.6,32.5,0,32.01,32.01,1,113.7714,113.7714,1,0.0308,0.0308,1
25.3,16.2,0,10.29,10.29,1,45.3531,45.3531,1,0.0078,0.0078,1
52.0,41.3,0,39.63,39.63,1,177.1456,177.1456,1,0.0481,0.0481,1
35.7,16.2,0,-0.64,-0.64,1,45.1292,45.1292,1,0.0036,0.0036,1
