alt_m,T_C,P_kPa,f_bin
0,-5,101.325000,1.00403158595907
0,-4,101.325000,1.00401873749121
0,-3,101.325000,1.00400718430652
0,-2,101.325000,1.00399688708958
0,-1,101.325000,1.00398781338272
0,0,101.325000,1.00397993722473
0,1,101.325000,1.00397323878959
0,2,101.325000,1.00396770402522
0,3,101.325000,1.00396332429217
0,4,101.325000,1.00396009600239
0,5,101.325000,1.00395802025792
0,6,101.325000,1.00395710248965
0,7,101.325000,1.00395735209602
0,8,101.325000,1.00395878208178
0,9,101.325000,1.00396140869667
0,10,101.325000,1.00396525107422
0,11,101.325000,1.00397033087039
0,12,101.325000,1.00397667190237
0,13,101.325000,1.00398429978728
0,14,101.325000,1.00399324158090
0,15,101.325000,1.00400352541640
0,16,101.325000,1.00401518014304
0,17,101.325000,1.00402823496496
0,18,101.325000,1.00404271907986
0,19,101.325000,1.00405866131773
0,20,101.325000,1.00407608977959
0,21,101.325000,1.00409503147623
0,22,101.325000,1.00411551196692
0,23,101.325000,1.00413755499813
0,24,101.325000,1.00416118214227
0,25,101.325000,1.00418641243645
0,26,101.325000,1.00421326202113
0,27,101.325000,1.00424174377894
0,28,101.325000,1.00427186697332
0,29,101.325000,1.00430363688733
0,30,101.325000,1.00433705446230
0,31,101.325000,1.00437211593663
0,32,101.325000,1.00440881248447
0,33,101.325000,1.00444712985447
0,34,101.325000,1.00448704800848
0,35,101.325000,1.00452854076032
0,36,101.325000,1.00457157541449
0,37,101.325000,1.00461611240488
0,38,101.325000,1.00466210493352
0,39,101.325000,1.00470949860930
0,40,101.325000,1.00475823108670
0,41,101.325000,1.00480823170451
0,42,101.325000,1.00485942112459
0,43,101.325000,1.00491171097055
0,44,101.325000,1.00496500346649
0,45,101.325000,1.00501919107578
0,46,101.325000,1.00507415613971
0,47,101.325000,1.00512977051628
0,48,101.325000,1.00518589521888
0,49,101.325000,1.00524238005507
0,50,101.325000,1.00529906326526
0,51,101.325000,1.00535577116146
0,52,101.325000,1.00541231776601
0,53,101.325000,1.00546850445030
0,54,101.325000,1.00552411957351
0,55,101.325000,1.00557893812132
0,56,101.325000,1.00563272134466
0,57,101.325000,1.00568521639841
0,58,101.325000,1.00573615598016
0,59,101.325000,1.00578525796890
500,-5,95.460812,1.00382704963733
500,-4,95.460812,1.00381588620097
500,-3,95.460812,1.00380588199838
500,-2,95.460812,1.00379701016169
500,-1,95.460812,1.00378925016243
500,0,95.460812,1.00378258745023
500,1,95.460812,1.00377701309158
